16:59:33.170 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7b107154] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:06:01.865 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [227] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:06:02.031 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ed76a80d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:08:52.579 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [227] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:08:52.735 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8e45f119] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:13:57.524 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [227] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:13:57.684 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f2d6c7e1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:20:18.546 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [227] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:20:18.703 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f2c5a461] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:22:43.628 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [227] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:22:43.790 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$56a3795d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
